,listing_id,id,date,reviewer_id,reviewer_name,comments
166462,22083484,268692416,2018-05-25,104912255,Sarah,"Joanna and Ted's place is perfect for business, couple or friend travel. It is located right in LoDo and is walkable to just about everything except the mountains :) Easy and great communicators, fine amenities, friendly feeling place. Everything and more that I needed was there, and it was the perfect place to call home and not have to live out of a hotel closet for a week. Thank you Joanna and Ted - I will be back!!"
203577,27173113,508274356,2019-08-12,274793335,Daniel,"Easy in out, stairs, little noisy in morning due to children. Nice new neighborhood"
134020,18893513,186831304,2017-08-25,50154094,Andrew,"Shannon's apartment is a great place to stay in Denver. It is close to the interstate, restaurants, and starbucks while being on a quiet street in a beautiful neighborhood. Shannon is very kind and thoughtful. The apartment had everything you could need. It is big, nicely decorated, furnished, stocked, and has a private entrance. The location is great as well. It is the nicest airbnb I have stayed in so far and it is also very affordably priced. I would definitely stay here again."
98001,14732176,401452608,2019-01-14,26634479,Nandan,I booked Rob’s  place for my daughter -   She enjoyed her stay at Rob’s and Cath’s and said they were wonderful hosts. They were extremely communicative throughout and very accommodating that made her stay smooth and easy.
163790,21819046,439766151,2019-04-19,99927582,Lindsay,Sean is a fantastic host! Communication was easy and his place was super clean. He gave me recommendations for places in the area. I would definitely stay at Sean’s again!
229845,32691716,530481104,2019-09-15,282573006,Santana,"This house was everything I expected the house had 1 MB and a loft but was plenty of space for 5 adults and 1 child the house was sparking clean overall a great place to stay. The host  was kind enough to give me some info on where to eat, sight see and things to do while in Denver very helpful thank you so much. This is definitely a house I will book in the future when I return to Denver"
73487,11555808,132073853,2017-02-15,103836008,Samuel,"Phenomenal doesn't begin to describe my experience here. Thomas is a gracious, generous, welcoming and friendly host, and the accommodations were extremely comfortable and conveniently close to local attractions. Would highly recommend to any traveler visiting Denver."
180530,23684531,557294513,2019-10-31,144689236,Aaron,"This place is so cool! Massive ceilings, art everywhere, funky design touches, cool roommates... I felt like I was in an artists loft for the time I spent here. And the area is a very special one in Denver. I highly recommend!"
210133,28331238,514172211,2019-08-20,14293784,TJ And Hank,Great location. Cute place. Ideal for 2 people but can accommodate 4. Couch was extremely comfortable and beds good too.
198123,26165645,435539535,2019-04-10,242171486,Alison,Great location!!!!!
238788,35734859,532908677,2019-09-20,64772981,Tim,The host responded quickly to my booking request and my stay was convenient and seamless.
229106,32469867,507678610,2019-08-11,6719789,Kenneth,"Katy's place is clean, quiet, and easy to access.  She provided all the amenities you need to make your stay convenient and comfortable. Although we didn't use the common area, there is ample space to relax outside of your private room.  I'm giving her place a 5 star review but a few things to note:

1)  The A/C doesn't really make its way into the upstairs room so it can feel stuffy even with the fan on - we left the door cracked in the evening and it did help - although not as comfortable as I would have liked.  That said, it was unusually warm time of the year for Denver so I would imagine this is generally not an issue?
2) The townhouse is on the corner of the street across from a bar so if you are a light/early sleeper, be prepared for foot traffic and conversation coming from street level.  Didn't bother us, but just make note.

Location is convenient - easy access to many restaurants and bars around."
154052,21069884,425067898,2019-03-17,76429190,Wendi,Great space for a couple.  Seth is a great communicator and there were no surprises.  Highly recommend it!
205338,27455846,562420266,2019-11-10,154244848,Kerry,"This adorable house was perfect for 5 girlfriends coming from 5 different places for a weekend in Denver. The beds were very comfortable, the towels were fresh, fluffy, and plentiful, and we never ran out of hot water! The Hosts were super responsive and accommodating. The house is a short walk to great eating/drinking/shopping options. The kitchen is basic. If we’d wanted to stay in, more comfy seating would’ve made it perfect."
208502,27992799,402815830,2019-01-19,62592241,Manny,"Good location , clean , private Alex was a great host responded quickly and intructions to check in were very clear."
128609,18227184,436246143,2019-04-12,102138907,Roxayne,Super clean & quiet space. Hosts usually responded to any question sent thru app within minutes. Allowed bag drop off prior to check-in and the biggest benefit was a sweetheart of a medium sized dog that loved to snuggle if you wanted her too!
127426,18105941,435211936,2019-04-09,24902933,Veronica,"Tobi's place was awesome! The bed was super comfy, and the room was perfect. Loved hanging with Tobi and the pups they were great company. Super sweet pups, loved the views and porches and the weather was perfect. Saving for later dates to Denver!!"
122544,17325994,311662424,2018-08-21,123965087,Nancy,"Keith, his partner, and their doggo Archer were all so welcoming right from the start! They had great suggestions for dinner spots and breweries as well. This home was so clean and modern I honestly want my house to look just like it someday. The space was so relaxing to be in and their was great attention to detail. I would absolutely stay here again and would highly recommend it to anyone!"
96991,14548753,283369052,2018-06-29,86706960,Rai,The house is beautiful. Teshome is very responsive. 5star
242265,37628327,527812350,2019-09-11,174488538,Joella,This place was amazing. It was very clean and had nice personal touches around the house. The room was quiet and private. Everything was very stylish and loved the modern appliances and decor. Erick and Alex were great hosts. It was also in a great area close to everything.
77240,12365447,283309927,2018-06-29,74894668,Steve,Patrick's place was perfect for us.  It was very well kept and in the perfect location in downtown Denver. Patrick was very accommodating and I would definitely stay here again.
96068,14371267,468946656,2019-06-13,6116495,Ali,"We had such an amazing stay! Shelley was an excellent host and was super accommodating. The location was walkable to bars, restaurants and shops and all her local suggestions were super helpful and totally on point."
235993,34526761,522258167,2019-09-01,177939096,Ariel,This home was perfect! Amazing art throughout the home and a great location! Best hosts I’ve ever had! Would definitely love to come back!
49830,7931953,50816469,2015-10-14,14139587,Jacqui,"What a great location right in the middle of everything Denver has to offer.
Kimberly and Patrick have thought of everything you might need in their comprehensive welcome guide, one of the best I have seen.
The house was perfect for my daughter and I and would easily support two couples visiting the city.
Highly recommended!"
206163,27603607,477138370,2019-06-27,51602849,Tanya,"Wonderful, clean space in an very convenient location if you are traveling via the Denver airport. Thoughtful, high end touches include nice sheets and bedding, extra towels and the best hairdryer I have ever used! We arrived super late due to two delays and left early, so we did not meet our hosts, but we felt very welcome and comfortable!"
76733,12288253,265336527,2018-05-16,58652624,Nicholas,Lauren is great! Had a quick stay and she was lovely to communicate with throughout.
107522,15746223,264438224,2018-05-13,116858902,Kylee,Great little place. Very private and easy access. Nice little outside seating area. Very close to everything you need. We even left the car a few times to walk to Sloan’s lake and downtown is literally a 7min drive. Parking wasn’t bad either. Very clean. A little snug for 3 people but definitely doable. The only thing lacking was amenities like coffee and snacks or drinks but other than that it was great. I would stay here again especially because of the awesome location in Denver. Never did get to officially meet the hosts but we LOVED the privacy. Thanks for making our stay in Denver enjoyable!
209670,28137750,455376457,2019-05-19,18720376,Moe,Super clean and very welcoming space. Quiet and safe neighborhood. It is a great place to land after a long trip and perfect for early flights out!
77627,12492320,522996857,2019-09-02,277483002,Caleb,12/10 on the rating. You can’t beat this location nor the price. David was awesome with communication and also gave us great food and location references. I will 100% go through David again the next time I find myself in Denver. Place was clean & nice - also had a very nice kitchen along with a back patio for privacy. I was very satisfied with my stay here & know I will find myself here again - Thanks again David!
82807,13078248,513519700,2019-08-19,102154596,Jack,Had a wonderful time at Maren's place in the Highlands. Would stay again.
57140,8860548,504445013,2019-08-07,208362532,Matt,Great location! Enjoyed our stay a lot.
173251,22889415,434436596,2019-04-07,134704412,Justyce,"This house is just as it is displayed in the photos! It is clean, spacious, and they have stocked and thought of EVERYTHING your family might need while there. It was easy to communicate and get a response from the host, Erik. It is a great location, easy to Uber cheaply to any part of Denver. Truly enjoyed our stay and look forward to many more Denver adventures! Would totally recommend staying here!"
126361,17856827,192645036,2017-09-10,147396163,Kelly,"Great place, great location. 
We used it as a home base to tour Denver and the surrounding areas. 
It was the perfect place for us."
179515,23616466,352726963,2018-11-25,105879197,Michelle,We loved this property for our large family!!  The layout of the house was great including the open kitchen/living room area as well as the large dining space.  Adorable patio space too!!  We had so much fun playing ping-pong!!  There were plenty of towels and kitchen items available.  The hosts were super responsive and very friendly.  The location gave us easy access to major roads.  We thoroughly enjoyed our time here!!  Thank you again!!
10941,1327856,57521432,2015-12-27,46718087,Heather,"Leila & Alex left great instructions for us even though we never met face to face.  The apartment was comfortable for our holiday gathering.  I thought there were 3 bedrooms by the photos, but since our son lived fairly close he ended up going back to his place at night instead of staying with us.  The kitchen was fully equipped and we enjoyed cooking a majority of our meals there. Otherwise we found restaurants conveniently located in the neighborhood."
1051,39405,4297376,2013-04-25,2307828,Sarah,"My sister and I stayed in Jennifer and Giovanni's Mulberry Cottage and really enjoyed our stay. Jennifer and Giovanni where very hospitable and friendly and the home, though not large, was comfortable and cozy. The location is ideal and is right around the corner from my favorite coffee spot in the area, Black Eye. Also, the grounds/yard are lovely and are perfect if you like to enjoy coffee/wine in a serene and peaceful outdoor setting. Thank you again Jennifer and Giovanni! "
76559,12288253,122313378,2016-12-22,28723619,Yuchen,Lauran is well helpful and patient. We enjoyed our stay there. 
14933,2119667,79148054,2016-06-11,12876460,Ricki,"Nicole's home was a perfect respite from a grueling conference with a ton of natural light, a very comfortable bed and a lovely private back deck.  It was my first time to Denver and my stay at the wee little house definitely made it a very pleasant trip. "
146315,20441430,459618378,2019-05-27,259473286,Jordan,"John was a great Host! I’m a bit on the younger side so I was enjoying the city life pretty late into the morning. Their were no issues with coming in at 2am-5am. Everything was clean, he was friendly, and I had everything I needed after a very long night of having fun! Would highly recommend to anyone."
86087,13449331,99996788,2016-09-06,32161378,Ashley,"Gary's place was great! It was super clean, quiet, and had a lot of little amenities that made it extra special!  Gary was really communicative, checking in a few times to make sure everything was perfect. Thanks so much for making the weekend even better with a great space and host! Awesome 1st time experience!"
213939,29130386,349219440,2018-11-16,82557961,Aaron,Great space and value! Awesome touch with the local coffee and chocolates!
209139,28078819,553671049,2019-10-24,8039100,Amanda,"Perfect location for all adventures in the Denver area, wonderful space to accommodate a couple!"
102985,15207534,529321272,2019-09-14,159731734,Sandy,"Excellent service, excellent location, excellent hosts, a 5 star plus experience!"
181604,23801735,546581323,2019-10-13,28349806,Jeffrey,"This house served it's purpose for a group of 10 friends visiting Colorado for a Wedding.  It is a huge space with plenty of common rooms in addition to the 5-private bedrooms.  Steven was quick to respond to us and we were able to use the house, garage and yard without any issues.  The ""6th bedroom""  is a pull out couch in a sitting room off the kitchen but that didn't affect our stay.  The house is clearly a rental and is showing some signs of wear and tear but again nothing that affected our time there.  We would stay again."
7385,833937,25652970,2015-01-22,22624794,Byron,"This was a perfect little house, great location, and great amenities. Nothing beats having an amazing record collection to browse through! Bus and rail station are a shirt walk away and open you up to get to the downtown core in 10-15min. Overall this property was all we wanted and more!"
175549,23162597,511735390,2019-08-17,270254538,Natasha,"Great clean house, nice quiet neighborhood,  few minutes drive to restaurants, grocery store, pharmacy and a lot of other shops. We had a great stay!"
20166,3412478,47101204,2015-09-15,41076780,Sophia,"Both Brandy and I were in and out quite a bit during my stay there, but she did make me feel very welcome and was extremely responsive to any questions I had by texting. I pretty much had the place to myself when I was there, it's very cozy and clean. The area is great, I felt very safe. I rented a car so I can't vouch for public transportation, but the city Center was about a 10 minute drive away and there are plenty of great food options within walking distance (or delivery). Her cats are the sweetest things ever!"
231396,33251110,484342922,2019-07-08,107409535,Lindsay,Good place and it was easy to get around   It is not far from the airport either. The hosts were friendly and nice...their dog is adorable too.
133135,18805144,435888610,2019-04-11,11121243,Maureen,We had a great stay in Denver! Enough space for three people and great area. Thank you!!
116791,16601681,137641373,2017-03-16,100099844,Chris,"Sara's home was very nice and I had the entire basement to myself. I checked in much later than anticipated (2:00 AM), but Sara was flexible and made it very easy. I would definitely stay again. "
55716,8718728,409771798,2019-02-08,203348614,Giovana,Great place for a few nights in Denver! Recommend!!
178861,23557779,328603873,2018-09-26,12849496,Rod,Cool house. Great location. Easy instructions. Amazing rooftop deck. Fast responses. I recommend this house.
100185,14962333,171500720,2017-07-17,1209057,Molly,"This spot is great for a quick stay in Denver!  Perfect size, easy parking, quiet neighborhood and still close to lots of great food/action."
118004,16838784,294956334,2018-07-22,198907158,Walter Brad,"Folks, y'all can expect a comfortable bed and nice bathroom upstairs.  Downstairs is nice seating and all very clean.   And she has an amazing ""hairless"" cat you must meet.  "
34279,5402378,321009502,2018-09-09,56494486,Brittany,Just as described. House had everything we needed and is in a great location. Awesome back yard and the hot tub was great. Hosts are extremely responsive and helpful. I’d definitely stay here again!
125720,17664945,423643499,2019-03-14,247066011,LaJeanna,Cozy spot especially nice for a couple. Quiet and equipped with all your needs.
37933,6044888,488145157,2019-07-14,113090088,Isaac,"Great stay, great area, great host!"
125494,17639379,223663940,2018-01-01,103177748,Rachel,"Stay Alfred gave me extremely clear info on how to check in/out/get keys, and could be reached immedieatly via a phone call. Their customer service is superb! The apartment was extremely clean, plenty of towels/basic supplies. AMAZING location! So close to a strip of bars/restauraunts, sushi directly next door, Liqour store across the street, and Coors field was a block away. All at an amazig price! 100% will be booking this Air b&b next time I am in Denver."
165953,22032668,307078829,2018-08-13,36166606,Brantley,Great spot in Denver! Walking distance to anything you could want to do! 
193796,25422304,516712472,2019-08-24,220716986,Shaheem,Nice room and fast responses from Kristin. Made bringing the dog a breeze and great location.
199307,26281796,523045872,2019-09-02,150420164,Devin,Really great host's. Walkthrough for the check-in process was simple to follow.
108585,15802763,448790550,2019-05-05,17421706,Shawn,"A really cool urban bohemian dwelling with great style and amenities, especially for dispensary enthusiast. You can walk to King Soopers for groceries, or just walk down the street for drinks and dining at Whiskey Tango Foxtrot."
147613,20617423,277518144,2018-06-16,161863404,Kaylinn,Super comfy bed and really great location! Such a quaint and cozy place. The parking was always easy and close to the unit.
160701,21630965,241082903,2018-03-07,18048878,Chess,We had a wonderful stay in James’ space and would look forward to staying again if the opportunity arose. It was clean and well put together with everything we needed. Would absolutely recommend.
218696,29881875,475724243,2019-06-24,77006827,Jess,"We had a great stay at Nick's! My family and I were driving cross-county from California to New York, Denver was our first stop along the way. We got into Nicks home and went straight to bed. The house is located in the basement which has been remodeled into a beautiful home. It slept all 5 of us comfortably. There is a huge beanbag that my sister loved sleeping on. Overall I would recommend Nick home if your ever in the Denver area!"
206852,27734054,409747700,2019-02-08,13506468,Terri,"I am back at my home away from home, and it gets better every time! There were some thoughtful touches like magazines, yogurt, and even a bottle of wine welcoming me back. Richard has been an incredible host, and very accommodating when I had to extend my trip by a week! He had the place cleaned on the last day of my first reservation so I have fresh towels and linens. Above and Beyond what I expected. Thank you Richard and Candace!"
28130,4288813,65976842,2016-03-18,59620666,Zach,"Hilary's place was immaculate and extremely comfortable. Beautiful space, great kitchen that's very well equipped and super convenient to downtown Denver. Communication was always quick and friendly. Would love to stay again!"
41836,6846954,512918722,2019-08-18,98847760,Patrick,Loved the unique setup and style of the loft.  Location is fantastic and an easy walk to the baseball stadium or any other spots downtown.
105267,15471561,428246555,2019-03-24,29393918,Adam,Great part of town to be in
73964,11713844,122723145,2016-12-25,10453361,Nancy,"Jessica's place was a perfect location for us, just a few blocks away from my daughter.  We gathered for the holidays at this house, as her studio apartment wouldn't hold us all.  The dining area was great for 5-6 of us to have meals; the living area was comfortable with great access to internet/TV options.  The 2 bedrooms, kitchen, and bathroom were very ""cozy"" (seemed a bit smaller than the photos).  Only 3  of us stayed at this house, which was very comfortable.   If you have 6,  I would suggest that you be very good friends or close family!   Privacy is limited.  
The house is very cute and clean, with many convenient touches.     The appliances are older, but all worked well.   The kitchen is small, but has a great supply of dishes, utensils, etc.   Parking is as described - not that big of an issue - you may need to walk a bit but it was always less than a block.  The information provided on site was fantastic - how to work everything and where everything is.  We had a great stay at a great value, and I can easily recommend this house for your next stay!   "
194483,25477727,477652242,2019-06-28,42956696,Amanda,"Great place to stay in Denver - nice building, beautiful views! Andrew and Rebecca were helpful and responsive. I'd stay again!"
178122,23402143,550449155,2019-10-18,297226517,Michael,"Nice place, great hosts, clean and nice area. Would rent again"
148241,20680884,289162392,2018-07-11,174628398,Corey,This apartment is amazing. It’s located in the  heart of everything Denver and very close to downtown. I loved everything from the real wood floors to the personal touches. Decorated with personality. This apartment is part of a historic era building and the originality alone is worth a look.
68499,10494162,414124448,2019-02-18,227499415,Vanessa,The guest house is cozy and adorable. It was the perfect “home base” for us to come home to after a few days exploring Denver and the Rockies. I highly recommend!
90320,13751968,275727573,2018-06-11,19039449,James,"This place was very cute and accurately described. There is no central air, just a mobile cooling unit. We didn't know how to use it until our second night. You have to fill it up with water and put ice in the top for it to properly cool down the apartment.  Once we figured this out our stay was very comfortable!"
200523,26500661,417304336,2019-02-26,174801856,Jonathan,"Alison’s place was perfect for us    Great location, sparkling clean and extremely comfortable.    Great neighborhood with lots of great breweries and restaurants within walking distance.    Alison was always quick to respond to any questions.    Highly recommended"
119844,17022504,420443354,2019-03-06,198668639,Chris,Great Host and Location.  Perfect for exploring downtown Denver.
89017,13656664,209212705,2017-11-04,34620435,Ashley,"Shane and Jean were super nice when our flight got delayed and we didn’t arrive until 3 am - they even offered to let stay after check out if we needed to. The unit was super comfy and clean - the bed was amazing after such a long journey to get to Denver. Check in was easy, even at 3 am!"
75733,12169927,292712833,2018-07-18,25274555,Courtney,"Gabriel and Vanessa's place was perfect! It is beautiful, clean, and in an incredible location! Gabriel and Vanessa were available if we had any questions and gave us great tips on things to do/see in the area. Would highly recommend!"
182611,23960099,459729806,2019-05-27,48861460,Shane,Great host and great place!
244438,39085734,568634146,2019-11-24,162876954,Nic,An awesome place to stay with a great view of Denver and tons of amenities! We will be back!
154523,21082369,216629810,2017-12-04,115749225,Maggi,This was such a nice little place to stay. Awesome host that will help you with anything you need. Such a cute space to stay in. I️ will defiantly stay here when I️ come back to Denver. Highly highly recommended .
79986,12915068,82763570,2016-06-29,262964,Peter & Nicole,"I have stayed at numerous Airbnb locations around the US and in South America. I rate my stay at Country Club North as among the very best! I was met by Dave (Leanne was out of town), was warmly welcomed and given a tour of where I would be staying. The house is in a very nice neighborhood, quiet and with parking right in front. The room and home were very clean, very comfortable bed, nice bathroom, plenty of towels, etc. I had the whole basement level to myself, even use of the washer and dryer. I highly recommend staying at Dave and Leanne's location!"
161122,21662868,539585762,2019-10-01,26888571,Julia,"A very comfortable stay for a lay over but I didn't have transport and found the taxi fare to get there a bit high. I didn't know the area, so my fault"
54413,8566977,113255475,2016-11-11,5082943,Marissa,"The apartment was exactly as described and had lots of thoughtful touches - lamps beside the bed, emergency torches in the switches, night light in the bathroom and a great coffee machine. The whole place was immaculately clean and made for a very pleasant stay. One of our party commented that he felt like he was staying at a friend's house. Highly recommend it. "
124450,17530389,460984319,2019-05-30,262686766,Olen,"Great spot, loved the location and very clean"
10474,1189999,155216767,2017-05-27,97253187,Gina,Loved our stay. We especially loved hanging out with Shy the dog!!
223843,31261351,547141197,2019-10-14,12186864,Carlos,"This house was amazing! So many different rooms and a lot of closet space. The backyard was perfect enough for all 11 of my buddies to sit and relax or shoot some cornhole. Just a 10 min walk or 5 min uber ride to coffee shops, voodoo doughnut, Denver biscuit company and a bunch of other places to eat. If you have any questions, they will get back to you quickly with an answer. Check in was at 4, but I asked if we could check in earlier, being that we landed around 11:30am and they quickly responded with a yes! That of course was because they had the house cleaned by than so maybe we just got lucky. Everyone who walked through the door said ""this place is so neat! "" Great, fun mansion to stay in while visiting Denver. Highly recommend! Thank you for a great experience!"
34582,5433111,422653329,2019-03-11,50227379,Ben,A great one bedroom (two BR with a pullout couch) space within walking distance to a lot of restaurants and breweries.  Todd's place was clean and even had gated off-street parking!  Perfect for what we needed.
178474,23452346,308110605,2018-08-15,7631273,Donald,Great basement apartment in a decent location in Denver. Two nice bedrooms and a spacious bathroom
240327,36600928,528261508,2019-09-12,23350529,Lauren,"Angelina is a fantastic host! She was incredibly accommodating to my schedule (I arrived very late at night), and flexible when I decided to extend my stay. The space is sparkling clean, can easily host a small family, and is complete with fresh linens and new carpeting. If you're interested in staying near Wash Park and don't mind being in a basement (I found it cozy, not cramped), then I would highly recommend this home. Plus you really can't beat the location. Enjoy!"
123062,17341684,188519034,2017-08-29,30383519,Carmina,"Thoroughly enjoyed our stay. Alex has a lovely home and him and his poodle Mason were great hosts. 

The room was very comfy and spacious with easy access to the bathroom and laundry. It's also perfectly located in central Denver.  

Our sometimes hyperactive corgi definitely enjoyed her stay as much as we did."
238056,35413846,498937014,2019-07-30,208782491,Marina,Great value.
44508,7238579,97480869,2016-08-27,19640747,Lily,April's place was comfy and perfect for a quick stay.  I mostly just needed a place to sleep at the end of along day in an unfamiliar town.  Everything was clean and nice and April is hospitable a host as can be.
63665,9652984,117051255,2016-12-04,82403345,Kevin,Great place and location for a great price! Highly recommend! 
32823,5070640,36810041,2015-07-01,22863392,Tyler,"Andrea did a great job of describing the place, and was so accommodating. The house is in the middle of a great neighborhood w/a great community feel w/plenty of shops and great places to eat. Everything was exactly as described. The only thing I will say is it got a little warm in the carriage house during the day (I get hot VERY easily though), but our stay was during some uncharacteristically hot weather. The main bed was very comfy and the pull out sofa was surprisingly comfy as well, and was great to lay down and watch some TV w/the kids. Great Place. Great neighborhood. Great host. Thanks Airbnb and THANKS ANDREA!!!"
5356,665622,155212293,2017-05-27,105519356,Leela,"Great location, easy to take an Uber or Lyft right downtown. The place itself was clean and nicely decorated. We had everything we need and felt right at home. We also appreciated the ease of check-in and good communication."
49294,7912052,136905555,2017-03-12,107194498,Utkarsh,"Mr Aki and his wife were prompt in reply and received us with utmost kindness. The house is incredibly clean and beautiful. We enjoyed our stay and surroundings and will highly recommend to everyone. 
No wonder they are a diamond rated hosts!"
173524,22928612,422650197,2019-03-11,21721226,Pete,A great place with a great host in a great location.  Tim's suggestions for places to go and places to eat where detailed and comprehensive and dead on.
106188,15551405,216395302,2017-12-03,160644478,Charles,Just wanted to say that we really enjoyed our stay for the weekend. The place was a great base for our Denver Adventure. Many thanks to our host for getting us setup on such short notice. Would definitely stay again and we will share our experience! Thanks!
184891,24179534,313609904,2018-08-25,152689444,Nicholas,Thanks great place
98132,14759489,113266645,2016-11-11,6448004,Christina,"The accommodations were extremely nice. We utilized the basement area, which offered great privacy. Cozy and quiet. Location was easy to find. We had access to the kitchen and washer/dryer. Uber and Lyft access was quick and only a short distance from everything downtown. ($6-12 rides). Darren was very responsive and more than accommodating.  

Everything was exactly as described! Thank you!!!"
143528,20033468,408808579,2019-02-05,46504017,Tim,What a STEAL! Totally awesome location and super easy check in. The way to go if you’re in Denver! Would book again
24827,3992779,75168242,2016-05-19,63773875,Margaret,"Elizabeth was an excellent host - everything in the apartment is as described in the listing. Elizabeth was so sweet and welcoming and even left us some coffee and great tasting beer! Her guidebook provided excellent recommendations too. Her place was centrally located, and within walking distance or a short Uber ride to many places in Denver. Her place is perfect for two people and I would definitely recommended staying at her place! Plus, her dogs are adorable :)"
45130,7359477,83125191,2016-07-01,15025476,Joe,Tess was excellent in communicating. We had one little issue and she immediately fixed it. The location is perfect if you are going to a Broncos game or other event at the football stadium. A good option for staying in Denver. 
32676,4978830,559110374,2019-11-03,211510804,Franchesca,A very nice house & clean stay! It was very spacious for our group! We loved that they had menus for near by places to deliver food!
33851,5351873,271911416,2018-06-02,9358306,Brent,Great place in a great location with a great host.
79599,12889829,107411388,2016-10-10,6703244,Bryan,Great place to stay! The amenities were nice and it was close to downtown Denver. I highly recommend this AirBnb.
74789,11945010,335649412,2018-10-12,79552351,Kelly,"Nice space! Josh was a great host and quick to answer any questions I had.
Good location and walking distance from many dining options."
10397,1189999,20096843,2014-09-23,19913289,Tami,"My daughter, son and I had a wonderful stay in Mike's apartment. As soon as we walked in we knew we made the right choice. It was very clean, comfortable and in a great location. We were able to walk to great dining and shopping and was an easy drive to downtown Denver. One of the highlights staying at Mike's place was getting up in the morning and having coffee in the peace of the back yard. The apartment was of good size and even though there were only 3 of us it would easily accommodate 4 if not more. 
Mike was always very quick to respond with any questions or concerns I had. 
I would highly recommend Mike's apartment to any one visiting Denver."
116322,16589595,216924604,2017-12-06,1904752,Kelly,"Definitely a great value for the price!! Super clean and my favorite part was the fireplace! 

Highly recommend."
134604,18950106,554139929,2019-10-25,5280663,Lee,Great Backyard!  Super central location.  Cute house!
43365,7071425,63646596,2016-02-25,57899596,Jenny,"McKenzie was very helpful and answered any question in a timely manner. There was an issue with the cable and as soon as she realized it was beyond her control she sent for a cable company service call. 
The room was incredibly clean and neat. The décor was very modern and quaint. There was some construction going on during the day right next door but they didn't start until after 8 am and were done around 5 pm. We would definitely stay again!"
17908,2653512,556075679,2019-10-28,8293432,Briar,"This is the Air B&B you want to stay at when in Denver! It has everything you could possibly need, is in a great location and Marcie and Damon are fantastic hosts who happily share their local knowledge. We will be recommending it to anyone we know heading to Denver."
7952,852934,423610777,2019-03-14,244229034,Aishwarya,"Very close to the downtown of Denver, ambience was amazing, the house has its own special touch of uniqueness by the hosts. The response from the hosts were quick and we had an excellent time staying there."
41978,6869896,87090357,2016-07-18,33308926,Cameron,"Hosts- Billy and Julie were extremely kind, accommodating. Julie met us at check-in and gave us a lot of great advice on things to check out around town. They also have a categorized booklet of their favorite restaurants which we found very useful. 

House- The home is extremely comfortable, and tastefully decorated. The location is fantastic, as there are plenty of walkable restaurants, bars, parks, stores, etc. It had everything we needed and more. Highly recommend! "
198188,26165764,417310653,2019-02-26,151317941,Joyce,"My husband and I had a wonderful stay - Katia and her husband were so helpful even though we didn’t get a chance to cross paths in person!

Loved the little extras in the kitchenette area - The mini fridge and small freezer came in handy, the granola bars, oatmeal, bowls, ziplocks etc too!

Their place was super convenient to get to the airport this morning (10 min to hertz drop off) as well as site see around Denver. Should we return to Denver without the kids we’ll definitely be back."
85152,13380198,502411869,2019-08-04,44189225,Martha,"This is a great house for a big group. We hosted a family reunion and it was perfect. The open floor plan and big, well equipped kitchen allows everyone to be together in a comfortable space. 
Yoann is very responsive and the location is great."
152964,21027425,411242035,2019-02-11,23160355,Bis,"Great space! It was very clean and comfortable, with a homey feel to it. I didn't get to explore the location much but it was definitely a safe area."
