,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,y,education_bucket
88,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,basic
89,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,0,intermediate
90,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,0,advanced
91,57,,married,,,yes,no,telephone,may,mon,48,0,
92,60,admin.,married,,,no,yes,telephone,may,mon,213,0,
93,33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,0,basic
94,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,0,basic
95,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,0,advanced
96,42,management,married,university.degree,no,no,no,telephone,may,mon,426,0,advanced
97,53,admin.,divorced,university.degree,,no,no,telephone,may,mon,287,0,advanced
98,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,0,advanced
99,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,0,basic
100,54,services,married,,no,yes,no,telephone,may,mon,229,0,
101,49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,0,basic
102,54,services,married,,no,no,no,telephone,may,mon,400,0,
103,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,0,advanced
104,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,0,advanced
105,43,services,single,high.school,,no,no,telephone,may,mon,21,0,intermediate
106,34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,0,basic
107,35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,0,intermediate
108,42,entrepreneur,married,,,yes,no,telephone,may,mon,293,0,
109,43,technician,married,,,yes,yes,telephone,may,mon,325,0,
110,60,retired,divorced,university.degree,,no,no,telephone,may,mon,514,0,advanced
111,58,unemployed,married,basic.4y,,no,no,telephone,may,mon,849,0,basic
112,35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,0,intermediate
113,55,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,212,0,basic
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,0,advanced
115,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,0,intermediate
116,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,0,advanced
117,57,blue-collar,divorced,,,yes,no,telephone,may,mon,518,0,
118,56,admin.,married,,no,yes,no,telephone,may,mon,364,0,
119,48,blue-collar,divorced,basic.4y,,yes,no,telephone,may,mon,178,0,basic
120,40,blue-collar,married,high.school,,yes,no,telephone,may,mon,98,0,intermediate
121,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,0,intermediate
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,0,intermediate
123,45,technician,married,high.school,no,yes,no,telephone,may,mon,79,0,intermediate
124,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,0,advanced
125,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,0,advanced
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,0,basic
127,31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,0,advanced
128,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,0,basic
129,41,technician,married,professional.course,,yes,no,telephone,may,mon,579,1,advanced
130,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,0,basic
131,41,technician,married,professional.course,,no,no,telephone,may,mon,677,0,advanced
132,35,blue-collar,married,,no,yes,no,telephone,may,mon,267,0,
133,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,0,basic
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,0,advanced
135,39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,0,advanced
136,39,housemaid,married,basic.4y,,no,no,telephone,may,mon,69,0,basic
137,56,blue-collar,married,basic.4y,,no,no,telephone,may,mon,100,0,basic
138,34,services,married,high.school,no,yes,no,telephone,may,mon,125,0,intermediate
139,45,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,461,1,basic
140,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,0,advanced
141,56,management,married,,no,yes,no,telephone,may,mon,70,0,
142,39,management,married,university.degree,no,yes,no,telephone,may,mon,193,0,advanced
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,0,basic
144,38,,divorced,high.school,,yes,no,telephone,may,mon,73,0,intermediate
145,42,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,528,0,basic
146,42,blue-collar,married,basic.4y,,no,no,telephone,may,mon,541,0,basic
147,35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,0,intermediate
148,40,admin.,married,university.degree,,yes,no,telephone,may,mon,163,0,advanced
149,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,0,basic
150,60,blue-collar,married,basic.9y,,no,no,telephone,may,mon,301,0,basic
151,56,entrepreneur,married,,,yes,no,telephone,may,mon,46,0,
152,39,services,divorced,high.school,,yes,no,telephone,may,mon,52,0,intermediate
153,56,entrepreneur,married,,,no,no,telephone,may,mon,204,0,
154,40,blue-collar,married,,no,yes,yes,telephone,may,mon,155,0,
155,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,0,basic
156,51,blue-collar,married,,,yes,no,telephone,may,mon,71,0,
157,51,blue-collar,married,,,no,no,telephone,may,mon,243,0,
158,43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,0,advanced
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,0,intermediate
160,24,management,single,university.degree,no,yes,no,telephone,may,mon,165,0,advanced
161,37,blue-collar,single,basic.9y,,yes,yes,telephone,may,mon,163,0,basic
162,40,blue-collar,married,basic.9y,,no,no,telephone,may,mon,46,0,basic
163,42,blue-collar,married,basic.9y,,no,no,telephone,may,mon,559,0,basic
164,39,services,divorced,high.school,,no,no,telephone,may,mon,2033,0,intermediate
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,0,basic
166,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,0,intermediate
167,56,admin.,divorced,,,no,no,telephone,may,mon,114,0,
168,40,blue-collar,married,,no,no,no,telephone,may,mon,114,0,
169,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,0,advanced
170,43,blue-collar,married,high.school,,no,yes,telephone,may,mon,181,0,intermediate
171,36,services,married,high.school,,no,no,telephone,may,mon,427,0,intermediate
172,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,0,advanced
173,42,admin.,single,university.degree,,no,no,telephone,may,mon,192,0,advanced
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,0,intermediate
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,0,basic
176,44,services,married,high.school,no,yes,yes,telephone,may,mon,107,0,intermediate
177,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,0,basic
178,28,services,married,high.school,no,yes,no,telephone,may,mon,81,0,intermediate
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,0,basic
180,34,technician,married,high.school,no,no,no,telephone,may,mon,228,0,intermediate
181,46,blue-collar,married,basic.6y,,yes,no,telephone,may,mon,240,0,basic
182,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,1,basic
183,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,0,advanced
184,54,blue-collar,married,basic.4y,,no,no,telephone,may,mon,102,0,basic
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,0,advanced
186,51,technician,married,basic.6y,,no,no,telephone,may,mon,250,0,basic
187,54,retired,married,high.school,,no,no,telephone,may,mon,130,0,intermediate
188,49,blue-collar,married,basic.4y,,no,no,telephone,may,mon,252,0,basic
189,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,0,advanced
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,0,advanced
191,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,0,basic
192,45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,0,advanced
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,0,advanced
194,34,blue-collar,single,basic.9y,,yes,no,telephone,may,mon,55,0,basic
195,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,0,basic
196,37,admin.,married,high.school,,yes,no,telephone,may,mon,313,0,intermediate
197,34,blue-collar,single,basic.9y,,no,no,telephone,may,mon,289,0,basic
198,40,admin.,married,basic.9y,,yes,no,telephone,may,mon,683,0,basic
199,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,0,basic
200,33,services,married,high.school,no,no,no,telephone,may,mon,146,0,intermediate
201,32,services,single,basic.6y,no,no,no,telephone,may,mon,167,0,basic
202,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,0,intermediate
203,43,admin.,married,,no,no,no,telephone,may,mon,277,0,
204,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,0,basic
205,35,student,single,university.degree,,no,no,telephone,may,mon,218,0,advanced
206,35,student,single,university.degree,,yes,yes,telephone,may,mon,217,0,advanced
207,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,0,advanced
208,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,0,basic
209,35,student,single,university.degree,,yes,no,telephone,may,mon,248,0,advanced
210,36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,0,basic
211,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,0,advanced
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,0,advanced
213,57,retired,married,,,no,no,telephone,may,mon,611,0,
214,39,blue-collar,married,professional.course,,yes,no,telephone,may,mon,471,0,advanced
215,39,housemaid,married,basic.4y,,yes,no,telephone,may,mon,381,0,basic
216,30,blue-collar,single,,no,yes,no,telephone,may,mon,251,0,
217,30,blue-collar,single,,no,yes,yes,telephone,may,mon,408,0,
218,50,housemaid,married,basic.4y,,no,no,telephone,may,mon,287,0,basic
219,40,services,married,high.school,no,no,no,telephone,may,mon,322,0,intermediate
220,35,admin.,married,high.school,no,yes,no,telephone,may,mon,216,0,intermediate
221,43,technician,married,,,no,no,telephone,may,mon,366,0,
222,36,services,single,basic.6y,,yes,no,telephone,may,mon,210,0,basic
223,46,technician,married,basic.4y,,yes,no,telephone,may,mon,288,0,basic
224,40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,0,basic
225,58,retired,married,university.degree,no,no,no,telephone,may,mon,132,0,advanced
226,42,technician,married,university.degree,no,no,no,telephone,may,mon,64,0,advanced
227,35,admin.,single,university.degree,no,no,no,telephone,may,mon,209,0,advanced
228,43,retired,married,basic.4y,,no,no,telephone,may,mon,410,0,basic
229,45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,0,basic
230,39,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,0,advanced
231,50,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,0,advanced
232,32,management,divorced,basic.4y,,yes,no,telephone,may,mon,127,0,basic
233,39,admin.,married,high.school,,no,no,telephone,may,mon,357,0,intermediate
234,52,self-employed,married,university.degree,,no,no,telephone,may,mon,175,0,advanced
235,44,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,0,advanced
236,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,0,basic
237,48,admin.,married,high.school,no,no,no,telephone,may,mon,125,0,intermediate
238,33,services,married,high.school,,no,yes,telephone,may,mon,189,0,intermediate
239,43,management,married,university.degree,,no,yes,telephone,may,mon,213,0,advanced
240,57,retired,married,high.school,no,no,no,telephone,may,mon,238,0,intermediate
241,36,technician,single,professional.course,no,no,no,telephone,may,mon,124,0,advanced
242,34,management,married,university.degree,no,yes,no,telephone,may,mon,18,0,advanced
243,34,services,single,basic.9y,no,no,no,telephone,may,mon,730,0,basic
244,30,technician,married,university.degree,,no,no,telephone,may,mon,40,0,advanced
245,33,services,divorced,,no,no,no,telephone,may,mon,181,0,
246,32,technician,single,professional.course,no,no,no,telephone,may,mon,79,0,advanced
247,36,technician,single,high.school,no,yes,no,telephone,may,mon,142,0,intermediate
248,36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,0,intermediate
249,33,services,single,high.school,no,no,no,telephone,may,mon,702,0,intermediate
250,40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,0,advanced
251,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,211,0,basic
252,51,services,married,basic.6y,no,yes,no,telephone,may,mon,117,0,basic
253,36,technician,married,professional.course,no,yes,no,telephone,may,mon,232,0,advanced
254,28,services,married,,no,no,no,telephone,may,mon,408,0,
255,53,services,married,high.school,no,yes,yes,telephone,may,mon,370,0,intermediate
256,58,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,179,0,basic
257,45,management,married,basic.9y,no,no,yes,telephone,may,mon,46,0,basic
258,43,technician,married,,no,yes,no,telephone,may,mon,200,0,
259,33,admin.,married,high.school,no,no,yes,telephone,may,mon,50,0,intermediate
260,33,admin.,married,high.school,no,no,yes,telephone,may,mon,181,0,intermediate
261,27,blue-collar,single,basic.6y,no,,,telephone,may,mon,119,0,basic
262,42,technician,married,high.school,no,no,no,telephone,may,mon,361,0,intermediate
263,43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73,0,basic
264,42,admin.,married,university.degree,no,no,no,telephone,may,mon,67,0,advanced
265,27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,0,basic
266,34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,0,advanced
267,31,student,single,university.degree,,no,no,telephone,may,mon,332,0,advanced
268,54,management,divorced,university.degree,no,no,no,telephone,may,mon,611,0,advanced
269,40,self-employed,married,basic.4y,,no,no,telephone,may,mon,58,0,basic
270,52,unemployed,married,high.school,,yes,no,telephone,may,mon,151,0,intermediate
271,47,management,divorced,university.degree,no,no,no,telephone,may,mon,89,0,advanced
272,49,housemaid,married,basic.9y,,no,no,telephone,may,mon,152,0,basic
273,32,admin.,single,high.school,no,no,no,telephone,may,mon,611,0,intermediate
274,49,housemaid,single,high.school,,yes,yes,telephone,may,mon,110,0,intermediate
275,50,blue-collar,married,basic.9y,,no,no,telephone,may,mon,463,0,basic
276,34,services,married,high.school,no,no,no,telephone,may,mon,962,0,intermediate
277,55,blue-collar,married,basic.4y,,no,no,telephone,may,mon,102,0,basic
278,47,technician,single,basic.9y,no,no,no,telephone,may,mon,10,0,basic
279,51,retired,married,professional.course,no,no,no,telephone,may,mon,118,0,advanced
280,47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,0,basic
281,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,143,0,basic
282,53,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,0,basic
283,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,0,basic
284,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,0,basic
285,44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,0,basic
286,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,1,basic
287,37,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,0,intermediate
288,60,blue-collar,married,,,yes,no,telephone,may,mon,5,0,
289,36,services,married,high.school,no,no,no,telephone,may,mon,225,0,intermediate
290,42,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,0,advanced
291,31,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,0,intermediate
292,53,technician,divorced,professional.course,,no,yes,telephone,may,mon,206,0,advanced
293,45,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,164,0,basic
294,37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,0,advanced
295,47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,0,advanced
296,49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,0,intermediate
297,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,0,advanced
298,35,services,divorced,high.school,no,no,no,telephone,may,mon,122,0,intermediate
299,38,,married,,,no,no,telephone,may,mon,362,0,
300,38,services,single,high.school,,no,no,telephone,may,mon,357,0,intermediate
301,50,blue-collar,divorced,high.school,,no,yes,telephone,may,mon,200,0,intermediate
302,59,retired,married,professional.course,,no,no,telephone,may,mon,107,0,advanced
303,43,,married,,no,yes,no,telephone,may,mon,267,0,
304,42,admin.,married,high.school,no,yes,no,telephone,may,mon,248,0,intermediate
305,40,admin.,married,basic.6y,,yes,no,telephone,may,mon,215,0,basic
306,46,blue-collar,married,,,no,no,telephone,may,mon,209,0,
307,57,housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,205,0,basic
308,42,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,0,advanced
309,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,83,0,basic
310,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,106,0,advanced
311,27,admin.,single,university.degree,no,no,no,telephone,may,mon,106,0,advanced
312,36,admin.,married,high.school,no,no,no,telephone,may,mon,108,0,intermediate
313,58,blue-collar,married,professional.course,,yes,no,telephone,may,mon,214,0,advanced
314,40,management,married,university.degree,,yes,no,telephone,may,mon,358,0,advanced
315,34,admin.,single,basic.9y,,no,no,telephone,may,mon,453,0,basic
316,33,admin.,divorced,high.school,no,no,no,telephone,may,mon,364,0,intermediate
317,56,retired,married,basic.6y,no,no,no,telephone,may,mon,136,0,basic
318,42,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,173,0,basic
319,43,services,married,high.school,no,yes,no,telephone,may,mon,241,0,intermediate
320,54,management,single,basic.9y,no,yes,no,telephone,may,mon,224,0,basic
321,53,admin.,single,basic.6y,no,yes,yes,telephone,may,mon,148,0,basic
322,42,technician,single,,no,no,no,telephone,may,mon,230,0,
323,40,services,married,basic.6y,,no,no,telephone,may,mon,199,0,basic
324,54,technician,married,professional.course,no,yes,yes,telephone,may,mon,196,0,advanced
325,40,housemaid,single,professional.course,no,no,no,telephone,may,mon,111,0,advanced
326,26,admin.,single,university.degree,no,yes,no,telephone,may,mon,231,0,advanced
327,33,admin.,married,high.school,no,no,no,telephone,may,mon,316,0,intermediate
328,35,blue-collar,married,basic.9y,,no,no,telephone,may,mon,240,0,basic
329,36,admin.,married,high.school,no,no,no,telephone,may,mon,669,0,intermediate
330,29,services,single,high.school,no,yes,no,telephone,may,mon,425,0,intermediate
331,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,121,0,basic
332,35,management,married,high.school,no,yes,no,telephone,may,mon,174,0,intermediate
333,50,self-employed,single,university.degree,no,no,yes,telephone,may,mon,88,0,advanced
334,46,services,married,high.school,,yes,no,telephone,may,mon,313,0,intermediate
335,49,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,135,0,intermediate
336,42,technician,single,professional.course,,yes,no,telephone,may,mon,152,0,advanced
337,36,blue-collar,single,high.school,no,yes,yes,telephone,may,mon,402,0,intermediate
338,55,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,221,0,basic
339,41,management,married,university.degree,,no,no,telephone,may,mon,213,0,advanced
340,57,management,married,professional.course,,yes,no,telephone,may,mon,144,0,advanced
341,32,services,single,high.school,no,yes,no,telephone,may,mon,158,0,intermediate
342,49,admin.,married,basic.9y,no,no,no,telephone,may,mon,220,0,basic
343,57,,married,,,yes,no,telephone,may,mon,325,0,
344,58,blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,254,0,basic
345,52,technician,married,high.school,no,yes,no,telephone,may,mon,503,0,intermediate
346,50,services,divorced,professional.course,no,no,no,telephone,may,mon,680,0,advanced
347,41,blue-collar,single,basic.9y,,yes,no,telephone,may,mon,421,0,basic
348,33,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,130,0,advanced
349,57,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164,0,basic
350,48,blue-collar,married,basic.6y,,no,no,telephone,may,mon,174,0,basic
351,55,technician,married,professional.course,no,no,no,telephone,may,mon,113,0,advanced
352,38,management,married,university.degree,no,no,no,telephone,may,mon,195,0,advanced
353,38,services,married,high.school,no,yes,no,telephone,may,mon,347,0,intermediate
354,53,admin.,married,university.degree,no,yes,no,telephone,may,mon,208,0,advanced
355,43,unemployed,single,university.degree,no,no,no,telephone,may,mon,404,0,advanced
356,36,blue-collar,single,high.school,no,no,no,telephone,may,mon,396,0,intermediate
357,32,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,98,0,basic
358,33,services,married,basic.4y,no,no,no,telephone,may,mon,229,0,basic
359,58,entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,350,0,basic
360,40,unemployed,divorced,high.school,,no,no,telephone,may,tue,88,0,intermediate
361,57,management,married,university.degree,no,yes,no,telephone,may,tue,379,0,advanced
362,45,technician,married,high.school,no,yes,no,telephone,may,tue,168,0,intermediate
363,42,blue-collar,married,basic.4y,,yes,no,telephone,may,tue,190,0,basic
364,46,admin.,married,university.degree,no,yes,no,telephone,may,tue,158,0,advanced
365,36,technician,married,university.degree,no,no,no,telephone,may,tue,210,0,advanced
366,41,self-employed,married,high.school,no,yes,no,telephone,may,tue,102,0,intermediate
367,57,admin.,divorced,basic.9y,no,no,no,telephone,may,tue,306,0,basic
